rank_2001,country,cpi_2001,surveys_used_2001,standard_deviation_2001
1,Finland,9.9,7,0.6
2,Denmark,9.5,7,0.7
3,New Zealand,9.4,7,0.6
4,Iceland,9.2,6,1.1
4,Singapore,9.2,12,0.5
6,Sweden,9,8,0.5
7,Canada,8.9,8,0.5
8,Netherlands,8.8,7,0.3
9,Luxembourg,8.7,6,0.5
10,Norway,8.6,7,0.8
11,Australia,8.5,9,0.9
12,Switzerland,8.4,7,0.5
13,United Kingdom,8.3,9,0.5
14,Hong Kong,7.9,11,0.5
15,Austria,7.8,7,0.5
16,Israel,7.6,8,0.3
16,USA,7.6,11,0.7
18,Chile,7.5,9,0.6
18,Ireland,7.5,7,0.3
20,Germany,7.4,8,0.8
21,Japan,7.1,11,0.9
22,Spain,7,8,0.7
23,France,6.7,8,0.8
24,Belgium,6.6,7,0.7
25,Portugal,6.3,8,0.8
26,Botswana,6,3,0.5
27,Taiwan,5.9,11,1
28,Estonia,5.6,5,0.3
29,Italy,5.5,9,1
30,Namibia,5.4,3,1.4
31,Hungary,5.3,10,0.8
31,Trinidad & Tobago,5.3,3,1.5
31,Tunisia,5.3,3,1.3
34,Slovenia,5.2,7,1
35,Uruguay,5.1,4,0.7
36,Malaysia,5,11,0.7
37,Jordan,4.9,4,0.8
38,Lithuania,4.8,5,1.5
38,South Africa,4.8,10,0.7
40,Costa Rica,4.5,5,0.7
40,Mauritius,4.5,5,0.7
42,Greece,4.2,8,0.6
42,South Korea,4.2,11,0.7
44,Peru,4.1,6,1.1
44,Poland,4.1,10,0.9
46,Brazil,4,9,0.3
47,Bulgaria,3.9,6,0.6
47,Croatia,3.9,3,0.6
47,Czech Republic,3.9,10,0.9
50,Colombia,3.8,9,0.6
51,Mexico,3.7,9,0.6
51,Panama,3.7,3,0.4
51,Slovak Republic,3.7,7,0.9
54,Egypt,3.6,7,1.5
54,El Salvador,3.6,5,0.9
54,Turkey,3.6,9,0.8
57,Argentina,3.5,9,0.6
57,China,3.5,10,0.4
59,Ghana,3.4,3,0.5
59,Latvia,3.4,3,1.2
61,Malawi,3.2,3,1
61,Thailand,3.2,12,0.9
63,Dominican Rep,3.1,3,0.9
63,Moldova,3.1,3,0.9
65,Guatemala,2.9,4,0.9
65,Philippines,2.9,11,0.9
65,Senegal,2.9,3,0.8
65,Zimbabwe,2.9,6,1.1
69,Romania,2.8,5,0.5
69,Venezuela,2.8,9,0.4
71,Honduras,2.7,3,1.1
71,India,2.7,12,0.5
71,Kazakhstan,2.7,3,1.3
71,Uzbekistan,2.7,3,1.1
75,Vietnam,2.6,7,0.7
75,Zambia,2.6,3,0.5
77,Cote d´Ivoire,2.4,3,1
77,Nicaragua,2.4,3,0.8
79,Ecuador,2.3,6,0.3
79,Pakistan,2.3,3,1.7
79,Russia,2.3,10,1.2
82,Tanzania,2.2,3,0.6
83,Ukraine,2.1,6,1.1
84,Azerbaijan,2,3,0.2
84,Bolivia,2,5,0.6
84,Cameroon,2,3,0.8
84,Kenya,2,4,0.7
88,Indonesia,1.9,12,0.8
88,Uganda,1.9,3,0.6
90,Nigeria,1,4,0.9
91,Bangladesh,0.4,3,2.9
