rank_2005,country,cpi_2005,surveys_used_2005,confidence_range_2005
1,Iceland,9.7,9.5 - 9.7,8
2,Finland,9.6,9.5 - 9.7,9
2,New Zealand,9.6,9.5 - 9.7,9
4,Denmark,9.5,9.3 - 9.6,10
5,Singapore,9.4,9.3 - 9.5,12
6,Sweden,9.2,9.0 - 9.3,10
7,Switzerland,9.1,8.9 - 9.2,9
8,Norway,8.9,8.5 - 9.1,9
9,Australia,8.8,8.4 - 9.1,13
10,Austria,8.7,8.4 - 9.0,9
11,Netherlands,8.6,8.3 - 8.9,9
11,United Kingdom,8.6,8.3 - 8.8,11
13,Luxembourg,8.5,8.1 - 8.9,8
14,Canada,8.4,7.9 - 8.8,11
15,Hong Kong,8.3,7.7 - 8.7,12
16,Germany,8.2,7.9 - 8.5,10
17,USA,7.6,7.0 - 8.0,12
18,France,7.5,7.0 - 7.8,11
19,Belgium,7.4,6.9 - 7.9,9
19,Ireland,7.4,6.9 - 7.9,10
21,Chile,7.3,6.8 - 7.7,10
21,Japan,7.3,6.7 - 7.8,14
23,Spain,7,6.6 - 7.4,10
24,Barbados,6.9,5.7 - 7.3,3
25,Malta,6.6,5.4 - 7.7,5
26,Portugal,6.5,5.9 - 7.1,9
27,Estonia,6.4,6.0 - 7.0,11
28,Israel,6.3,5.7 - 6.9,10
28,Oman,6.3,5.2 - 7.3,5
30,United Arab Emirates,6.2,5.3 - 7.1,6
31,Slovenia,6.1,5.7 - 6.8,11
32,Botswana,5.9,5.1 - 6.7,8
32,Qatar,5.9,5.6 - 6.4,5
32,Taiwan,5.9,5.4 - 6.3,14
32,Uruguay,5.9,5.6 - 6.4,6
36,Bahrain,5.8,5.3 - 6.3,6
37,Cyprus,5.7,5.3 - 6.0,5
,Jordan,5.7,5.1 - 6.1,10
39,Malaysia,5.1,4.6 - 5.6,14
40,Hungary,5,4.7 - 5.2,11
40,Italy,5,4.6 - 5.4,9
40,South Korea,5,4.6 - 5.3,12
43,Tunisia,4.9,4.4 - 5.6,7
44,Lithuania,4.8,4.5 - 5.1,8
45,Kuwait,4.7,4.0 - 5.2,6
46,South Africa,4.5,4.2 - 4.8,11
47,Czech Republic,4.3,3.7 - 5.1,10
47,Greece,4.3,3.9 - 4.7,9
47,Namibia,4.3,3.8 - 4.9,8
47,Slovakia,4.3,3.8 - 4.8,10
51,Costa Rica,4.2,3.7 - 4.7,7
51,El Salvador,4.2,3.5 - 4.8,6
51,Latvia,4.2,3.8 - 4.6,7
51,Mauritius,4.2,3.4 - 5.0,6
55,Bulgaria,4,3.4 - 4.6,8
55,Colombia,4,3.6 - 4.4,9
55,Fiji,4,3.4 - 4.6,3
55,Seychelles,4,3.5 - 4.2,3
59,Cuba,3.8,2.3 - 4.7,4
59,Thailand,"3,8",3.5 - 4.1,13
59,Trinidad and Tobago,"3,8",3.3 - 4.5,6
62,Belize,3.7,3.4 - 4.1,3
62,Brazil,"3,7",3.5 - 3.9,10
64,Jamaica,3.6,3.4 - 3.8,6
65,Ghana,3.5,3.2 - 4.0,8
65,Mexico,3.5,3.3 - 3.7,10
65,Panama,3.5,3.1 - 4.1,7
65,Peru,3.5,3.1 - 3.8,7
65,Turkey,3.5,3.1 - 4.0,11
70,Burkina Faso,3.4,2.7 - 3.9,3
70,Croatia,3.4,3.2 - 3.7,7
70,Egypt,3.4,3.0 - 3.9,9
70,Lesotho,3.4,2.6 - 3.9,3
70,Poland,3.4,3.0 - 3.9,11
70,Saudi Arabia,3.4,2.7 - 4.1,5
70,Syria,3.4,2.8 - 4.2,5
77,Laos,3.3,2.1 - 4.4,3
78,China,3.2,2.9 - 3.5,14
78,Morocco,3.2,2.8 - 3.6,8
78,Senegal,3.2,2.8 - 3.6,6
78,Sri Lanka,3.2,2.7 - 3.6,7
78,Suriname,3.2,2.2 - 3.6,3
83,Lebanon,3.1,2.7 - 3.3,4
83,Rwanda,3.1,2.1 - 4.1,3
85,Dominican Republic,3,2.5 - 3.6,6
85,Mongolia,3,2.4 - 3.6,4
85,Romania,3,2.6 - 3.5,11
88,Armenia,2.9,2.5 - 3.2,4
88,Benin,2.9,2.1 - 4.0,5
88,Bosnia and Herzegovina,2.9,2.7 - 3.1,6
88,Gabon,2.9,2.1 - 3.6,4
88,India,2.9,2.7 - 3.1,14
88,Iran,2.9,2.3 - 3.3,5
88,Mali,2.9,2.3 - 3.6,8
88,Moldova,2.9,2.3 - 3.7,5
88,Tanzania,2.9,2.6 - 3.1,8
97,Algeria,2.8,2.5 - 3.3,7
97,Argentina,2.8,2.5 - 3.1,10
97,Madagascar,2.8,1.9 - 3.7,5
97,Malawi,2.8,2.3 - 3.4,7
97,Mozambique,2.8,2.4 - 3.1,8
97,Serbia and Montenegro,2.8,2.5 - 3.3,7
103,Gambia,2.7,2.3 - 3.1,7
103,Macedonia,2.7,2.4 - 3.2,7
103,Swaziland,2.7,2.0 - 3.1,3
103,Yemen,2.7,2.4 - 3.2,5
107,Belarus,2.6,1.9 - 3.8,5
107,Eritrea,2.6,1.7 - 3.5,3
107,Honduras,2.6,2.2 - 3.0,7
107,Kazakhstan,2.6,2.2 - 3.2,6
107,Nicaragua,2.6,2.4 - 2.8,7
107,Palestine,2.6,2.1 - 2.8,3
107,Ukraine,2.6,2.4 - 2.8,8
107,Vietnam,2.6,2.3 - 2.9,10
107,Zambia,2.6,2.3 - 2.9,7
107,Zimbabwe,2.6,2.1 - 3.0,7
117,Afghanistan,2.5,1.6 - 3.2,3
117,Bolivia,2.5,2.3 - 2.9,6
117,Ecuador,2.5,2.2 - 2.9,6
117,Guatemala,2.5,2.1 - 2.8,7
117,Guyana,2.5,2.0 - 2.7,3
117,Libya,2.5,2.0 - 3.0,4
117,Nepal,2.5,1.9 - 3.0,4
117,Philippines,2.5,2.3 - 2.8,13
117,Uganda,2.5,2.2 - 2.8,8
126,Albania,2.4,2.1 - 2.7,3
126,Niger,2.4,2.2 - 2.6,4
126,Russia,2.4,2.3 - 2.6,12
126,Sierra Leone,2.4,2.1 - 2.7,3
130,Burundi,2.3,2.1 - 2.5,3
130,Cambodia,2.3,1.9 - 2.5,4
130,"Congo, Republic of",2.3,2.1 - 2.6,4
130,Georgia,2.3,2.0 - 2.6,6
130,Kyrgyzstan,2.3,2.1 - 2.5,5
130,Papua New Guinea,2.3,1.9 - 2.6,4
130,Venezuela,2.3,2.2 -2.4,10
137,Azerbaijan,2.2,1.9 - 2.5,6
137,Cameroon,2.2,2.0 - 2.5,6
137,Ethiopia,2.2,2.0 - 2.5,8
137,Indonesia,2.2,2.1 - 2.5,13
137,Iraq,2.2,1.5 - 2.9,4
137,Liberia,2.2,2.1 - 2.3,3
137,Uzbekistan,2.2,2.1 - 2.4,5
144,"Congo, Democratic Republic",2.1,1.8 - 2.3,4
144,Kenya,2.1,1.8 - 2.4,8
144,Pakistan,2.1,1.7 - 2.6,7
144,Paraguay,2.1,1.9 - 2.3,7
144,Somalia,2.1,1.6 - 2.2,3
144,Sudan,2.1,1.9 - 2.2,5
144,Tajikistan,2.1,1.9 - 2.4,5
151,Angola,2,1.8 - 2.1,5
152,Cote d'Ivoire,1.9,1.7 - 2.1,4
152,Equatorial Guinea,1.9,1.6 - 2.1,3
152,Nigeria,1.9,1.7 - 2.0,9
155,Haiti,1.8,1.5 - 2.1,4
155,Myanmar,1.8,1.7 - 2.0,4
