rank_2009,country,cpi_2009,surveys_used_2009
1,New Zealand,9.4,6
2,Denmark,9.3,6
3,Singapore,9.2,9
3,Sweden,9.2,6
5,Switzerland,9,6
6,Finland,8.9,6
6,Netherlands,8.9,6
8,Australia,8.7,8
8,Canada,8.7,6
8,Iceland,8.7,4
11,Norway,8.6,6
12,Hong Kong,8.2,8
12,Luxembourg,8.2,6
14,Germany,8,6
14,Ireland,8,6
16,Austria,7.9,6
17,Japan,7.7,8
17,United Kingdom,7.7,6
19,United States,7.5,8
20,Barbados,7.4,4
21,Belgium,7.1,6
22,Qatar,7,6
22,Saint Lucia,7,3
24,France,6.9,6
25,Chile,6.7,7
25,Uruguay,6.7,5
27,Cyprus,6.6,4
27,Estonia,6.6,8
27,Slovenia,6.6,8
30,United Arab Emirates,6.5,5
31,Saint Vincent and the Grenadines,6.4,3
32,Israel,6.1,6
32,Spain,6.1,6
34,Dominica,5.9,3
35,Portugal,5.8,6
35,Puerto Rico,5.8,4
37,Botswana,5.6,6
37,Taiwan,5.6,9
39,Brunei Darussalam,5.5,4
39,Oman,5.5,5
39,Korea (South),5.5,9
42,Mauritius,5.4,6
43,Costa Rica,5.3,5
43,Macau,5.3,3
45,Malta,5.2,4
46,Bahrain,5.1,5
46,Cape Verde,5.1,3
46,Hungary,5.1,8
49,Bhutan,5,4
49,Jordan,5,7
49,Poland,5,8
52,Czech Republic,4.9,8
52,Lithuania,4.9,8
54,Seychelles,4.8,3
55,South Africa,4.7,8
56,Latvia,4.5,6
56,Malaysia,4.5,9
56,Namibia,4.5,6
56,Samoa,4.5,3
56,Slovakia,4.5,8
61,Cuba,4.4,3
61,Turkey,4.4,7
63,Italy,4.3,6
63,Saudi Arabia,4.3,5
65,Tunisia,4.2,6
66,Croatia,4.1,8
66,Georgia,4.1,7
66,Kuwait,4.1,5
69,Ghana,3.9,7
69,Montenegro,3.9,5
71,Bulgaria,3.8,8
71,FYR Macedonia,3.8,6
71,Greece,3.8,6
71,Romania,3.8,8
75,Brazil,3.7,7
75,Colombia,3.7,7
75,Peru,3.7,7
75,Suriname,3.7,3
79,Burkina Faso,3.6,7
79,China,3.6,9
79,Swaziland,3.6,3
79,Trinidad and Tobago,3.6,4
83,Serbia,3.5,6
84,El Salvador,3.4,5
84,Guatemala,3.4,5
84,India,3.4,10
84,Panama,3.4,5
84,Thailand,3.4,9
89,Lesotho,3.3,6
89,Malawi,3.3,7
89,Mexico,3.3,7
89,Moldova,3.3,6
89,Morocco,3.3,6
89,Rwanda,3.3,4
95,Albania,3.2,6
95,Vanuatu,3.2,3
97,Liberia,3.1,3
97,Sri Lanka,3.1,7
99,Bosnia and Herzegovina,3,7
99,Dominican Republic,3,5
99,Jamaica,3,5
99,Madagascar,3,7
99,Senegal,3,7
99,Tonga,3,3
99,Zambia,3,7
106,Argentina,2.9,7
106,Benin,2.9,6
106,Gabon,2.9,3
106,Gambia,2.9,5
106,Niger,2.9,5
111,Algeria,2.8,6
111,Djibouti,2.8,4
111,Egypt,2.8,6
111,Indonesia,2.8,9
111,Kiribati,2.8,3
111,Mali,2.8,6
111,Sao Tome and Principe,2.8,3
111,Solomon Islands,2.8,3
111,Togo,2.8,5
120,Armenia,2.7,7
120,Bolivia,2.7,6
120,Ethiopia,2.7,7
120,Kazakhstan,2.7,7
120,Mongolia,2.7,7
120,Vietnam,2.7,9
126,Eritrea,2.6,4
126,Guyana,2.6,4
126,Syria,2.6,5
126,Tanzania,2.6,7
130,Honduras,2.5,6
130,Lebanon,2.5,3
130,Libya,2.5,6
130,Maldives,2.5,4
130,Mauritania,2.5,7
130,Mozambique,2.5,7
130,Nicaragua,2.5,6
130,Nigeria,2.5,7
130,Uganda,2.5,7
139,Bangladesh,2.4,7
139,Belarus,2.4,4
139,Pakistan,2.4,7
139,Philippines,2.4,9
143,Azerbaijan,2.3,7
143,Comoros,2.3,3
143,Nepal,2.3,6
146,Cameroon,2.2,7
146,Ecuador,2.2,5
146,Kenya,2.2,7
146,Russia,2.2,8
146,Sierra Leone,2.2,5
146,Timor-Leste,2.2,5
146,Ukraine,2.2,8
146,Zimbabwe,2.2,7
154,Côte d´Ivoire,2.1,7
154,Papua New Guinea,2.1,5
154,Paraguay,2.1,5
154,Yemen,2.1,4
158,Cambodia,2,8
158,Central African Republic,2,4
158,Laos,2,4
158,Tajikistan,2,8
162,Angola,1.9,5
162,Congo Brazzaville,1.9,5
162,Democratic Republic of Congo,1.9,5
162,Guinea-Bissau,1.9,3
162,Kyrgyzstan,1.9,7
162,Venezuela,1.9,7
168,Burundi,1.8,6
168,Equatorial Guinea,1.8,3
168,Guinea,1.8,5
168,Haiti,1.8,3
168,Iran,1.8,3
168,Turkmenistan,1.8,4
174,Uzbekistan,1.7,6
175,Chad,1.6,6
176,Iraq,1.5,3
176,Sudan,1.5,5
178,Myanmar,1.4,3
179,Afghanistan,1.3,4
180,Somalia,1.1,3
