rank_2010,country,cpi_2010,surveys_2010,standard_deviation_2010
1,Denmark,9.3,6,0.2
1,New Zealand,9.3,6,0.2
1,Singapore,9.3,9,0.2
4,Finland,9.2,6,0.2
4,Sweden,9.2,6,0.2
6,Canada,8.9,6,0.3
7,Netherlands,8.8,6,0.3
8,Australia,8.7,8,0.6
8,Switzerland,8.7,6,0.7
10,Norway,8.6,6,0.7
11,Iceland,8.5,5,1.1
11,Luxembourg,8.5,5,0.6
13,Hong Kong,8.4,8,0.5
14,Ireland,8,6,0.5
15,Austria,7.9,6,0.7
15,Germany,7.9,6,0.6
17,Barbados,7.8,4,0.9
17,Japan,7.8,8,0.6
19,Qatar,7.7,7,1.6
20,United Kingdom,7.6,6,0.5
21,Chile,7.2,7,0.3
22,Belgium,7.1,6,0.2
22,United States,7.1,8,1.1
24,Uruguay,6.9,5,0.4
25,France,6.8,6,0.6
26,Estonia,6.5,8,0.7
27,Slovenia,6.4,8,0.9
28,Cyprus,6.3,4,0.4
28,United Arab Emirates,6.3,5,1.3
30,Israel,6.1,6,0.7
30,Spain,6.1,6,0.6
32,Portugal,6,6,0.9
33,Botswana,5.8,6,0.6
33,Puerto Rico,5.8,4,0.7
33,Taiwan,5.8,9,0.7
36,Bhutan,5.7,4,0.7
37,Malta,5.6,3,0.3
38,Brunei,5.5,3,0.7
39,Korea (South),5.4,9,0.5
39,Mauritius,5.4,6,0.8
41,Costa Rica,5.3,5,1
41,Oman,5.3,5,1.6
41,Poland,5.3,8,0.4
44,Dominica,5.2,3,0.6
45,Cape Verde,5.1,4,1.3
46,Lithuania,5,8,1
46,Macau,5,3,1.4
48,Bahrain,4.9,5,1.2
49,Seychelles,4.8,3,1.9
50,Hungary,4.7,8,1.4
50,Jordan,4.7,7,1.3
50,Saudi Arabia,4.7,5,2
53,Czech Republic,4.6,8,0.9
54,Kuwait,4.5,5,1.8
54,South Africa,4.5,8,0.6
56,Malaysia,4.4,9,0.9
56,Namibia,4.4,6,0.8
56,Turkey,4.4,7,0.7
59,Latvia,4.3,6,0.8
59,Slovakia,4.3,8,1
59,Tunisia,4.3,6,2
62,Croatia,4.1,8,0.8
62,FYR Macedonia,4.1,5,0.5
62,Ghana,4.1,7,1
62,Samoa,4.1,3,0.7
66,Rwanda,4,5,1.6
67,Italy,3.9,6,0.7
68,Georgia,3.8,7,1.4
69,Brazil,3.7,7,0.9
69,Cuba,3.7,3,1.3
69,Montenegro,3.7,5,0.8
69,Romania,3.7,8,0.8
73,Bulgaria,3.6,8,0.7
73,El Salvador,3.6,5,0.3
73,Panama,3.6,5,0.7
73,Trinidad and Tobago,3.6,4,0.8
73,Vanuatu,3.6,3,1.9
78,China,3.5,9,0.9
78,Colombia,3.5,7,0.8
78,Greece,3.5,6,0.6
78,Lesotho,3.5,6,1.2
78,Peru,3.5,7,0.2
78,Serbia,3.5,6,0.6
78,Thailand,3.5,9,0.7
85,Malawi,3.4,7,0.9
85,Morocco,3.4,6,0.8
87,Albania,3.3,6,0.5
87,India,3.3,10,0.4
87,Jamaica,3.3,5,0.3
87,Liberia,3.3,4,0.8
91,Bosnia and Herzegovina,3.2,7,0.6
91,Djibouti,3.2,3,1.3
91,Gambia,3.2,5,1.7
91,Guatemala,3.2,5,0.3
91,Kiribati,3.2,3,1.3
91,Sri Lanka,3.2,7,0.6
91,Swaziland,3.2,4,0.2
98,Burkina Faso,3.1,6,1
98,Egypt,3.1,6,0.4
98,Mexico,3.1,7,0.3
101,Dominican Republic,3,5,0.4
101,Sao Tome and Principe,3,3,0.3
101,Tonga,3,3,0.3
101,Zambia,3,7,0.5
105,Algeria,2.9,6,0.4
105,Argentina,2.9,7,0.5
105,Kazakhstan,2.9,8,1.3
105,Moldova,2.9,6,0.4
105,Senegal,2.9,7,0.4
110,Benin,2.8,6,0.8
110,Bolivia,2.8,6,0.5
110,Gabon,2.8,3,0.6
110,Indonesia,2.8,9,0.8
110,Kosovo,2.8,3,0.2
110,Solomon Islands,2.8,3,0.5
116,Ethiopia,2.7,7,0.4
116,Guyana,2.7,4,0.2
116,Mali,2.7,6,0.8
116,Mongolia,2.7,6,0.5
116,Mozambique,2.7,7,0.5
116,Tanzania,2.7,7,0.5
116,Vietnam,2.7,9,0.7
123,Armenia,2.6,7,0.2
123,Eritrea,2.6,4,1.4
123,Madagascar,2.6,6,0.5
123,Niger,2.6,4,0.4
127,Belarus,2.5,3,0.5
127,Ecuador,2.5,5,0.4
127,Lebanon,2.5,4,0.6
127,Nicaragua,2.5,6,0.4
127,Syria,2.5,5,0.6
127,Timor-Leste,2.5,5,0.6
127,Uganda,2.5,7,0.6
134,Azerbaijan,2.4,7,0.5
134,Bangladesh,2.4,7,0.9
134,Honduras,2.4,6,0.4
134,Nigeria,2.4,7,0.4
134,Philippines,2.4,9,0.5
134,Sierra Leone,2.4,5,0.4
134,Togo,2.4,4,0.7
134,Ukraine,2.4,8,0.5
134,Zimbabwe,2.4,7,1
143,Maldives,2.3,3,0.5
143,Mauritania,2.3,6,0.6
143,Pakistan,2.3,7,0.5
146,Cameroon,2.2,7,0.4
146,Côte d´Ivoire,2.2,7,0.5
146,Haiti,2.2,3,0.1
146,Iran,2.2,4,1
146,Libya,2.2,6,0.3
146,Nepal,2.2,6,0.5
146,Paraguay,2.2,5,0.5
146,Yemen,2.2,4,0.3
154,Cambodia,2.1,9,0.3
154,Central African Republic,2.1,4,0.2
154,Comoros,2.1,3,0.5
154,Congo-Brazzaville,2.1,5,0.3
154,Guinea-Bissau,2.1,3,0
154,Kenya,2.1,7,0.3
154,Laos,2.1,4,0.6
154,Papua New Guinea,2.1,5,0.5
154,Russia,2.1,8,0.4
154,Tajikistan,2.1,7,0.7
164,Democratic Republic of Congo,2,4,0.3
164,Guinea,2,5,0.3
164,Kyrgyzstan,2,7,0.3
164,Venezuela,2,7,0.2
168,Angola,1.9,6,0.2
168,Equatorial Guinea,1.9,3,0.2
170,Burundi,1.8,6,0.3
171,Chad,1.7,6,0.2
172,Sudan,1.6,5,0.4
172,Turkmenistan,1.6,3,0.2
172,Uzbekistan,1.6,6,0.2
175,Iraq,1.5,3,0.4
176,Afghanistan,1.4,4,0.3
176,Myanmar,1.4,3,0.5
178,Somalia,1.1,3,0.3
