country,cpi_2011,rank_2011,surveys_2011,standard_deviation_2011
New Zealand,9.5,1,9,0.05
Denmark,9.4,2,8,0.05
Finland,9.4,2,8,0.07
Sweden,9.3,4,9,0.08
Singapore,9.2,5,12,0.13
Norway,9,6,9,0.07
Netherlands,8.9,7,9,0.11
Australia,8.8,8,11,0.12
Switzerland,8.8,8,8,0.22
Canada,8.7,10,9,0.15
Luxembourg,8.5,11,8,0.25
Hong Kong,8.4,12,11,0.17
Iceland,8.3,13,8,0.27
Germany,8,14,10,0.18
Japan,8,14,12,0.27
Austria,7.8,16,10,0.24
Barbados,7.8,16,4,0.4
United Kingdom,7.8,16,10,0.15
Belgium,7.5,19,9,0.21
Ireland,7.5,19,8,0.23
Bahamas,7.3,21,3,0.11
Chile,7.2,22,11,0.21
Qatar,7.2,22,7,0.79
United States,7.1,24,12,0.4
France,7,25,10,0.27
Saint Lucia,7,25,3,0.26
Uruguay,7,25,6,0.28
United Arab Emirates,6.8,28,8,0.46
Estonia,6.4,29,10,0.29
Cyprus,6.3,30,5,0.37
Spain,6.2,31,9,0.28
Botswana,6.1,32,7,0.19
Portugal,6.1,32,8,0.42
Taiwan,6.1,32,10,0.31
Slovenia,5.9,35,8,0.39
Israel,5.8,36,7,0.27
Saint Vincent and the Grenadines,5.8,36,3,0.73
Bhutan,5.7,38,4,0.28
Malta,5.6,39,5,0.23
Puerto Rico,5.6,39,4,0.48
Cape Verde,5.5,41,5,0.29
Poland,5.5,41,12,0.3
Korea (South),5.4,43,13,0.23
Brunei,5.2,44,4,0.59
Dominica,5.2,44,3,0.26
Bahrain,5.1,46,6,0.67
Macau,5.1,46,3,0.74
Mauritius,5.1,46,6,0.37
Rwanda,5,49,6,0.72
Costa Rica,4.8,50,6,0.59
Lithuania,4.8,50,9,0.44
Oman,4.8,50,6,0.82
Seychelles,4.8,50,3,0.97
Hungary,4.6,54,11,0.41
Kuwait,4.6,54,6,0.66
Jordan,4.5,56,9,0.29
Czech Republic,4.4,57,12,0.29
Namibia,4.4,57,7,0.3
Saudi Arabia,4.4,57,5,0.86
Malaysia,4.3,60,12,0.31
Cuba,4.2,61,4,0.49
Latvia,4.2,61,7,0.3
Turkey,4.2,61,11,0.22
Georgia,4.1,64,7,0.43
South Africa,4.1,64,11,0.21
Croatia,4,66,10,0.21
Montenegro,4,66,5,0.5
Slovakia,4,66,10,0.36
Ghana,3.9,69,10,0.28
Italy,3.9,69,9,0.19
FYR Macedonia,3.9,69,6,0.21
Samoa,3.9,69,3,0.35
Brazil,3.8,73,10,0.24
Tunisia,3.8,73,7,0.67
China,3.6,75,12,0.26
Romania,3.6,75,10,0.17
Gambia,3.5,77,6,0.65
Lesotho,3.5,77,6,0.44
Vanuatu,3.5,77,3,0.92
Colombia,3.4,80,9,0.29
El Salvador,3.4,80,7,0.1
Greece,3.4,80,8,0.26
Morocco,3.4,80,8,0.37
Peru,3.4,80,9,0.16
Thailand,3.4,80,11,0.15
Bulgaria,3.3,86,10,0.27
Jamaica,3.3,86,7,0.18
Panama,3.3,86,6,0.23
Serbia,3.3,86,7,0.2
