"","Country","Year","Total"
"1",1400,2001,12
"2",1400,2002,10
"3",1400,2003,16
"4",1400,2004,12
"5",1400,2005,10
"6",1400,2006,16
"7",1400,2007,12
"8",1400,2008,8
"9",1400,2009,8
"10",1400,2010,12
"11",1400,2011,10
"12",1400,2012,6
"13",1400,2013,18
"14",1400,2014,8
"15",1400,2015,14
"16",3030,1996,24
"17",3030,1997,22
"18",3030,1998,16
"19",3030,1999,4
"20",3030,2000,10
"21",3030,2001,8
"22",3030,2002,2
"23",3030,2003,10
"24",3030,2004,6
"25",3030,2005,14
"26",3030,2006,20
"27",3030,2007,20
"28",3030,2008,18
"29",3030,2009,4
"30",3030,2010,10
"31",3080,1999,2
"32",3080,2000,14
"33",3285,2009,26
"34",3365,1997,11774
"35",3365,1998,11036
"36",3365,1999,11238
"37",3365,2000,10504
"38",3365,2001,9180
"39",3365,2002,8764
"40",3365,2003,8934
"41",3370,1998,30
"42",3370,1999,52
"43",3370,2000,46
"44",3370,2001,22
"45",3370,2002,60
"46",3370,2003,52
"47",3370,2004,58
"48",3370,2005,46
"49",3370,2006,54
"50",3370,2007,58
"51",3370,2008,68
"52",3370,2009,42
"53",4008,2011,7
"54",4008,2012,4
"55",4008,2013,3
"56",4008,2014,4
"57",4008,2015,5
"58",4012,2001,634
"59",4012,2002,184
"60",4012,2003,258
"61",4012,2004,216
"62",4018,2002,6600
"63",4018,2003,6934
"64",4018,2007,5326
"65",4018,2008,5322
"66",4018,2009,5486
"67",4018,2010,4924
"68",4018,2011,4348
"69",4018,2013,3806
"70",4018,2014,3484
"71",4182,2004,8824
"72",4182,2005,7838
"73",4182,2006,8172
"74",4182,2007,8336
"75",4182,2008,8018
"76",4182,2009,7692
"77",4182,2010,7234
"78",4182,2011,6810
"79",4182,2012,6482
"80",4272,1999,114552
"81",4272,2000,113868
"82",4272,2001,114568
"83",4272,2002,110660
"84",4272,2003,103498
"85",4272,2004,98756
"86",4272,2005,92126
"87",4272,2006,85710
"88",4272,2007,82658
"89",4272,2008,76812
"90",4272,2009,75140
"91",4272,2010,66960
"92",4272,2011,62288
"93",4272,2012,59470
"94",4272,2013,57558
"95",4272,2014,53212
"96",4275,2011,4
"97",4275,2012,0
"98",4275,2013,2
"99",4275,2014,1
"100",4275,2015,6
"101",4302,1999,884
"102",4302,2000,766
"103",4302,2001,892
"104",4302,2002,832
"105",4302,2003,754
"106",4302,2004,788
"107",4302,2005,936
"108",4302,2006,1012
"109",4302,2007,708
"110",4302,2008,488
"111",4302,2009,330
"112",4302,2010,356
"113",4302,2011,260
"114",4302,2012,276
"115",4302,2013,202
"116",4302,2014,272
"117",4302,2015,266
"118",4303,2005,21244
"119",4303,2006,20026
"120",4303,2007,20074
"121",4303,2008,18916
"122",4303,2009,19432
"123",4303,2010,18182
"124",4303,2011,17946
"125",4303,2012,18120
"126",4303,2014,15940
"127",4303,2015,15150
"128",4303,2017,12976
